indoor_air_quality,indoor_humidity,indoor_temp,ip_address,outdoor_humidity,outdoor_temp,outdoor_weather,datetime
,47.0,24.0,86.111.136.24,47.0,14.97,,2024-04-29 23:11:42
,47.0,24.0,86.111.136.24,,14.72,,2024-04-29 23:08:32
,47.0,24.0,86.111.136.24,,14.97,,2024-04-29 23:07:09
,47.0,24.0,86.111.136.24,,14.97,,2024-04-29 23:05:46
,47.0,24.0,86.111.136.24,,14.97,,2024-04-29 23:04:22
,46.0,24.0,86.111.136.24,,0.0,,2024-04-29 23:01:33
,46.0,24.0,86.111.136.24,,0.0,,2024-04-29 23:00:09
,46.0,24.0,86.111.136.24,,0.0,,2024-04-29 22:58:45
,46.0,24.0,86.111.136.24,,0.0,,2024-04-29 22:57:22
,45.0,25.0,86.111.136.24,,0.0,,2024-04-29 22:56:00
,45.0,25.0,86.111.136.24,,0.0,,2024-04-29 22:54:37
,44.0,26.0,86.111.136.24,,0.0,,2024-04-29 22:53:14
,43.0,26.0,86.111.136.24,,0.0,,2024-04-29 22:51:50
,41.0,28.0,86.111.136.24,,0.0,,2024-04-29 22:50:28
,42.0,29.0,86.111.136.24,,0.0,,2024-04-29 22:49:05
,44.0,27.0,86.111.136.24,,0.0,,2024-04-29 22:47:42
,56.0,26.0,86.111.136.24,,0.0,,2024-04-29 22:46:19
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:49:07
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:47:45
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:46:23
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:45:01
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:43:38
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:42:16
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:39:46
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:38:23
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:37:00
,46.0,24.0,86.111.136.24,,,,2024-04-28 22:33:36
,46.0,25.0,86.111.136.24,,,,2024-04-28 22:32:13
,46.0,25.0,86.111.136.24,,,,2024-04-28 22:30:50
,49.0,25.0,86.111.136.24,,,,2024-04-28 22:29:27
,47.0,24.0,86.111.136.24,,,,2024-04-28 22:28:03
,46.0,24.0,86.111.136.24,,,,2024-04-28 22:20:34
,46.0,25.0,86.111.136.24,,,,2024-04-28 22:15:35
,49.0,25.0,86.111.136.24,,,,2024-04-28 22:14:12
,46.0,24.0,86.111.136.24,,,,2024-04-28 22:11:50
,46.0,24.0,86.111.136.24,,,,2024-04-28 22:10:29
,46.0,24.0,86.111.136.24,,,,2024-04-28 22:09:07
,46.0,25.0,86.111.136.24,,,,2024-04-28 22:07:46
,46.0,25.0,86.111.136.24,,,,2024-04-28 22:06:24
,45.0,25.0,86.111.136.24,,,,2024-04-28 22:04:10
,45.0,25.0,86.111.136.24,,,,2024-04-28 22:03:45
,45.0,25.0,86.111.136.24,,,,2024-04-28 22:02:24
,45.0,26.0,86.111.136.24,,,,2024-04-28 22:01:33
,45.0,26.0,86.111.136.24,,,,2024-04-28 21:54:39
,48.0,26.0,86.111.136.24,,,,2024-04-28 21:53:17
,46.0,24.0,86.111.136.24,,,,2024-04-28 21:45:07
,46.0,24.0,86.111.136.24,,,,2024-04-28 21:44:34
,46.0,24.0,86.111.136.24,,,,2024-04-28 21:43:48
,46.0,25.0,86.111.136.24,,,,2024-04-28 21:43:11
,46.0,25.0,86.111.136.24,,,,2024-04-28 21:40:52
,46.0,25.0,86.111.136.24,,,,2024-04-28 21:39:49
,46.0,25.0,86.111.136.24,,,,2024-04-28 21:38:28
,46.0,25.0,86.111.136.24,,,,2024-04-28 21:37:56
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:28:36
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:27:14
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:25:53
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:24:31
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:23:09
,48.0,24.0,86.111.136.24,,,,2024-04-28 21:21:47
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:20:26
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:19:05
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:17:43
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:16:21
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:14:59
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:09:59
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:08:37
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:07:16
,46.0,24.0,86.111.136.24,,,,2024-04-28 21:06:51
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:05:30
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:04:08
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:03:32
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:02:11
,47.0,24.0,86.111.136.24,,,,2024-04-28 21:01:02
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:59:40
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:58:19
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:56:56
,48.0,24.0,86.111.136.24,,,,2024-04-28 20:55:34
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:54:12
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:53:05
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:51:44
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:50:22
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:49:32
,47.0,24.0,86.111.136.24,,,,2024-04-28 20:48:10
,46.0,24.0,86.111.136.24,,,,2024-04-28 20:46:48
,41.0,25.0,86.111.136.24,,,,2024-04-27 23:44:11
,41.0,25.0,86.111.136.24,,,,2024-04-27 23:43:47
,42.0,25.0,86.111.136.24,,,,2024-04-27 23:42:43
,40.0,25.0,86.111.136.24,,,,2024-04-27 23:41:40
,41.0,25.0,86.111.136.24,,,,2024-04-27 23:40:59
,40.0,25.0,86.111.136.24,,,,2024-04-27 23:39:56
,40.0,25.0,86.111.136.24,,,,2024-04-27 23:38:52
,40.0,25.0,86.111.136.24,,,,2024-04-27 23:37:47
,40.0,24.0,192.168.0.108,,,,2024-04-27 22:36:33
,40.0,24.0,192.168.0.108,,,,2024-04-27 22:35:12
,39.0,25.0,192.168.0.108,,,,2024-04-27 22:31:25
,39.0,25.0,192.168.0.108,,,,2024-04-27 22:30:04
,39.0,26.0,192.168.0.108,,,,2024-04-27 22:28:43
,39.0,26.0,192.168.0.108,,,,2024-04-27 22:28:36
,38.0,26.0,192.168.0.108,,,,2024-04-27 22:27:14
,38.0,26.0,192.168.0.108,,,,2024-04-27 22:25:53
,38.0,26.0,192.168.0.108,,,,2024-04-27 22:24:32
,38.0,26.0,192.168.0.108,,,,2024-04-27 22:23:11
,38.0,26.0,192.168.0.108,,,,2024-04-27 22:21:50
,37.0,26.0,,,,,2024-04-27 22:21:14
,37.0,26.0,,,,,2024-04-27 22:19:53
,37.0,27.0,,,,,2024-04-27 22:18:32
,37.0,27.0,,,,,2024-04-27 22:17:11
,37.0,27.0,,,,,2024-04-27 22:15:50
,37.0,27.0,,,,,2024-04-27 22:15:45
,36.0,27.0,,,,,2024-04-27 22:14:24
,36.0,28.0,,,,,2024-04-27 22:13:03
,37.0,28.0,,,,,2024-04-27 22:11:43
,38.0,28.0,,,,,2024-04-27 22:10:21
,35.0,28.0,,,,,2024-04-27 22:09:00
,33.0,30.0,,,,,2024-04-27 22:07:39
,47.0,31.0,,,,,2024-04-27 22:06:19
,40.0,28.0,,,,,2024-04-27 22:04:57
,41.0,24.0,,,,,2024-04-26 22:48:19
,41.0,24.0,,,,,2024-04-26 22:46:58
,41.0,24.0,,,,,2024-04-26 22:45:38
,41.0,24.0,,,,,2024-04-26 22:44:18
,41.0,24.0,,,,,2024-04-26 22:42:58
,41.0,24.0,,,,,2024-04-26 22:41:37
